"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","798","Scenario: Negative Test Case: Invalid email format (missing @) (Expect Status: 422)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:09:00 WAT 2025","OTP Request Endpoint Validation","RequestOtp.spec.ts","",""
"","822","Fail when missing ""redirect_uris"" field","chromium","Sun Nov 30 23:08:55 WAT 2025","passed","Sun Nov 30 23:08:56 WAT 2025","Client Creation Endpoint Validation","CreatNewClient.spec.ts","",""
"","1317","should successfully update user info and return complete user object","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:09:01 WAT 2025","Update User Info API","UpdateUserInfo.spec.ts","",""
"","786","Fail when client_id is missing","chromium","Sun Nov 30 23:08:51 WAT 2025","passed","Sun Nov 30 23:08:51 WAT 2025","Connect to a Client Endpoint Validation","Connect_To_A_Client.spec.ts","",""
"","429","Scenario: Negative Test Case: Missing email in request body (Required Check) (Expect Status: 422)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:08:59 WAT 2025","OTP Request Endpoint Validation","RequestOtp.spec.ts","",""
"","1283","Fail when redirect_uri is not allowed","chromium","Sun Nov 30 23:08:51 WAT 2025","passed","Sun Nov 30 23:08:52 WAT 2025","Connect to a Client Endpoint Validation","Connect_To_A_Client.spec.ts","",""
"","296","should return 401 when no bearer token is provided","chromium","Sun Nov 30 23:09:02 WAT 2025","passed","Sun Nov 30 23:09:02 WAT 2025","Update User Info API","UpdateUserInfo.spec.ts","",""
"","501","Should return 401 for expired bearer token","chromium","Sun Nov 30 23:08:58 WAT 2025","passed","Sun Nov 30 23:08:59 WAT 2025","List All Clients API","ListAllClients.spec.ts","",""
"","954","Scenario: Negative Test Case: Invalid email format (Expect 422)","chromium","Sun Nov 30 23:09:00 WAT 2025","passed","Sun Nov 30 23:09:01 WAT 2025","OTP Verification Endpoint Validation","VerifyOTP.spec.ts","",""
"","981","Scenario: Negative Test Case: Email with max length (boundary test) (Expect Status: 200)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:09:00 WAT 2025","OTP Request Endpoint Validation","RequestOtp.spec.ts","",""
"","621","Negative Test Case: Should fail when Content-Type header is missing","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:08:59 WAT 2025","OTP Request Endpoint Validation","RequestOtp.spec.ts","",""
"","790","Scenario: Negative Test Case: Missing email (Expect 422)","chromium","Sun Nov 30 23:08:59 WAT 2025","passed","Sun Nov 30 23:09:00 WAT 2025","OTP Verification Endpoint Validation","VerifyOTP.spec.ts","",""
"","868","Fail when missing ""name"" field","chromium","Sun Nov 30 23:08:55 WAT 2025","passed","Sun Nov 30 23:08:56 WAT 2025","Client Creation Endpoint Validation","CreatNewClient.spec.ts","",""
"","728","Fail when ""redirect_uris"" contains invalid URL","chromium","Sun Nov 30 23:08:56 WAT 2025","passed","Sun Nov 30 23:08:56 WAT 2025","Client Creation Endpoint Validation","CreatNewClient.spec.ts","",""
"","1154","Create a client with multiple valid permissions","chromium","Sun Nov 30 23:08:55 WAT 2025","passed","Sun Nov 30 23:08:56 WAT 2025","Client Creation Endpoint Validation","CreatNewClient.spec.ts","",""
"","220","should return 401 when using an invalid bearer token","chromium","Sun Nov 30 23:09:02 WAT 2025","passed","Sun Nov 30 23:09:02 WAT 2025","Update User Info API","UpdateUserInfo.spec.ts","",""
"","972","Scenario: Negative Test Case: Code for wrong user (Expect 403)","chromium","Sun Nov 30 23:09:00 WAT 2025","passed","Sun Nov 30 23:09:01 WAT 2025","OTP Verification Endpoint Validation","VerifyOTP.spec.ts","",""
"","1180","Create a new client with valid data","chromium","Sun Nov 30 23:08:55 WAT 2025","passed","Sun Nov 30 23:08:56 WAT 2025","Client Creation Endpoint Validation","CreatNewClient.spec.ts","",""
"","638","should return 400/422/404 when sending invalid payload types","chromium","Sun Nov 30 23:09:02 WAT 2025","passed","Sun Nov 30 23:09:03 WAT 2025","Update User Info API","UpdateUserInfo.spec.ts","",""
